year,month,day,length,title,file,Topic,Count,topic_1,topic_2,topic_3,topic_4,Topic_Label,length_type_v1,date
2024,1,6,18,"Thousands protest in Israel demanding captive release, government to resign",2024-01-06_1482.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2024-01-01
2023,12,11,18,Gaza’s al-Fukhari is dangerously overcrowded as Israel pushes people south,2023-12-11_1811.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-12-01
2024,4,8,18,"Hamas, Israel say no progress in Gaza truce talks",2024-04-08_96.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2024-04-01
2024,4,8,18,Khan Younis ‘smells like death’ as Palestinians return to devastated homes,2024-04-08_104.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2024-04-01
2024,1,7,18,"At least nine Palestinians, two Israelis killed in West Bank violence",2024-01-07_1479.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2024-01-01
2024,1,7,18,‘Victory photo’: Will Beirut killings help embattled Netanyahu politically?,2024-01-07_1478.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2024-01-01
2023,10,28,18,Prisoner exchange? Israeli captive families demand answers from Netanyahu,2023-10-28_2763.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2023,10,28,18,Russia says Israeli bombardment of Gaza is against international law,2023-10-28_2769.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2023,10,28,18,‘I am scared’: Bombing of Gaza sparks fears in southern Israel,2023-10-28_2765.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,28,18,"Palestinians in West Bank face closures, attacks amid Israeli offensive",2023-10-28_2768.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,28,18,‘So world knows’: Gaza parents mark children’s names on bodies amid bombing,2023-10-28_2772.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,28,18,"Mass graves, unclaimed bodies: Israel’s war robs Gazans of funeral rites",2023-10-28_2766.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,10,28,18,"Communication blackout, fuel shortages worsen the situation in Gaza",2023-10-28_2770.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,10,28,18,Prisoner exchange? Israeli captive families demand answers from Netanyahu,2023-10-28_2763.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2023,10,28,18,Russia says Israeli bombardment of Gaza is against international law,2023-10-28_2769.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2023,10,28,18,‘I am scared’: Bombing of Gaza sparks fears in southern Israel,2023-10-28_2765.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,28,18,"Palestinians in West Bank face closures, attacks amid Israeli offensive",2023-10-28_2768.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,28,18,‘So world knows’: Gaza parents mark children’s names on bodies amid bombing,2023-10-28_2772.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,28,18,"Mass graves, unclaimed bodies: Israel’s war robs Gazans of funeral rites",2023-10-28_2766.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,10,28,18,"Communication blackout, fuel shortages worsen the situation in Gaza",2023-10-28_2770.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,10,16,18,Funeral in US for Palestinian-American boy killed in suspected hate crime,2023-10-16_3078.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-10-01
2023,10,16,18,"At least 199 people being held captive by Hamas, Israel says",2023-10-16_3094.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2023,10,16,18,"Hamas warns of environmental crisis as 1,000 bodies still under Gaza rubble",2023-10-16_3100.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,11,16,18,The Occupied West Bank: The Other Front,2023-11-16_2282.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-11-01
2023,11,16,18,Israeli forces kill three Palestinians after alleged West Bank attack,2023-11-16_2285.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-11-01
2023,11,16,18,Are Israel and Hamas nearing a ‘hostage’ deal? What to know,2023-11-16_2288.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-11-01
2023,11,16,18,Biden to Netanyahu: ‘Occupying’ Gaza would be a ‘big mistake’,2023-11-16_2303.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-11-01
2023,11,16,18,"Escape from al-Shifa: How a Gaza medic dodged Israeli patrols, snipers",2023-11-16_2292.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-11-01
2023,11,16,18,"Israel-Gaza: Indonesian Hospital ‘out of service’, inundated with wounded",2023-11-16_2277.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,16,18,Critics reject Israeli claim al-Shifa Hospital used as Hamas command centre,2023-11-16_2279.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,16,18,Israel orders evacuation in parts of southern Gaza amid fears of escalation,2023-11-16_2280.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,16,18,What has Israel ‘found’ in Gaza’s al-Shifa Hospital?,2023-11-16_2297.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,16,18,‘Terrifying’: Death and despair continue in Gaza as Israeli attacks rage on,2023-11-16_2298.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,16,18,Israel raids Gaza’s al-Shifa Hospital for second day,2023-11-16_2300.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,10,24,18,Hundreds rally in Israel’s Tel Aviv to demand release of hostages,2023-10-24_2874.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2023,10,24,18,What do we know about Israeli captives taken by Hamas and their release?,2023-10-24_2879.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2023,10,24,18,"No one is left to mourn in Gaza, as Israel’s bombs deliver daily death",2023-10-24_2891.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,24,18,"‘Son of Maryam’, a birth seen as a victory against Israel’s raids on Gaza",2023-10-24_2881.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-10-01
2023,10,24,18,Gaza hospital generators to run out of fuel in 48 hours: Health Ministry,2023-10-24_2886.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-10-01
2023,10,30,18,Illinois man pleads not guilty in killing of Palestinian-American boy,2023-10-30_2712.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-10-01
2023,10,30,18,The aftermath of Israeli army’s raid in Jenin in occupied West Bank,2023-10-30_2724.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-10-01
2023,10,30,18,Israeli raids kill five in occupied West Bank,2023-10-30_2725.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-10-01
2023,10,30,18,Israeli military says it freed captured soldier in Gaza ground operations,2023-10-30_2713.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2023,10,30,18,‘Never seen such atrocities’: Palestine reporters recount Israel war horror,2023-10-30_2715.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,30,18,"Bilal went out to harvest his olives, an Israeli settler shot him",2023-10-30_2726.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,30,18,"‘Our turn to die’: A Gaza blackout, the roar of Israeli jets and screams",2023-10-30_2731.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,30,18,‘I’ve lost contact’: Surviving Israeli bombs amid communications blackout,2023-10-30_2737.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,30,18,"At Gaza’s Indonesia Hospital, medics fight to save lives amid Israel raids",2023-10-30_2734.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-10-01
2023,10,30,18,Heavy clashes as Israeli tanks briefly reach Gaza City outskirts,2023-10-30_2732.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,10,30,18,"Nameless on Earth, known in heaven: Victims of Israeli bombs buried in Gaza",2023-10-30_2735.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,10,27,18,Israeli forces kill four Palestinians in occupied West Bank: WAFA,2023-10-27_2805.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-10-01
2023,10,27,18,"Ceasefire, pause or truce? What have Israel and Hamas agreed to?",2023-10-27_2808.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2023,10,27,18,Hamas cannot free captives until Israel-Gaza ceasefire: Official,2023-10-27_2809.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2023,10,27,18,A day in the life of families sheltering at Gaza’s al-Shifa Hospital,2023-10-27_2794.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,27,18,"My student Yehia Dahdouh survived an Israeli bombing, but his pain is huge",2023-10-27_2795.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,27,18,People with disabilities not spared by Israel’s war machine on Gaza Strip,2023-10-27_2796.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,27,18,Hamas rejects Israeli claim over installations under al-Shifa hospital,2023-10-27_2791.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-10-01
2023,10,27,18,UN says Gaza Health Ministry death tolls in previous wars ‘credible’,2023-10-27_2793.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,10,27,18,Israeli bombing levels a residential square on Gaza City’s Jalaa Street,2023-10-27_2811.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,10,27,18,"Israeli air strikes kill dozens in Gaza overnight, Palestinian sources say",2023-10-27_2816.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,11,15,18,"She lost her home, had to send her kids away, but keeps reporting on Gaza",2023-11-15_2314.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-11-01
2023,11,15,18,US ‘did not give OK’ for Israeli raid of al-Shifa hospital in Gaza,2023-11-15_2306.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,15,18,Why is Gaza’s al-Shifa Hospital so important for the Israeli army?,2023-11-15_2311.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,15,18,‘Terror’ amid Israel’s raid on Gaza’s al-Shifa Hospital,2023-11-15_2317.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,15,18,Israel’s raid on Gaza’s al-Shifa Hospital: Here’s what you need to know,2023-11-15_2321.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,15,18,Thousands trapped as Israeli forces raid Gaza’s al-Shifa Hospital,2023-11-15_2327.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,15,18,Hamas blames US for giving Israel ‘green light’ to raid al-Shifa Hospital,2023-11-15_2328.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,15,18,"As Israel’s war on Gaza rages, humanitarian crisis worsens",2023-11-15_2323.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-11-01
2023,10,31,18,Hamas says it will release some foreign hostages in coming days,2023-10-31_2686.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2023,10,31,18,"No privacy, no water: Gaza women use period-delaying pills amid Israel war",2023-10-31_2694.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,31,18,"Shopping, queuing for bread, looking for water: Life in Gaza City continues",2023-10-31_2685.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,10,31,18,Photos: Dozens killed in Israeli air attack on Jabalia refugee camp in Gaza,2023-10-31_2689.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,10,31,18,Dozens killed in Israeli air attack on Jabalia refugee camp: Gaza official,2023-10-31_2693.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,10,31,18,"In Rafah, Israeli bombing shatters buildings, shatters lives",2023-10-31_2697.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,11,14,18,"Amid the ruins, Palestinians struggle to survive in Gaza",2023-11-14_2345.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-11-01
2023,11,14,18,Why are Gaza’s hospitals under relentless Israeli attack?,2023-11-14_2335.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,14,18,Gaza’s al-Shifa Hospital forced to bury dead patients in ‘mass grave’,2023-11-14_2336.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,14,18,"Out of medicines, care: Gaza’s cancer patients face death amid Israel war",2023-11-14_2344.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,14,18,Israel’s attacks on hospitals ‘should be investigated as war crimes’: HRW,2023-11-14_2346.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,14,18,Biden says Gaza hospital must be protected as tanks close in,2023-11-14_2352.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,1,18,‘There are thousands more’: Wounded Palestinians cross into Egypt from Gaza,2023-11-01_2658.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,1,18,‘I’ll walk again’: Hope for injured Palestinians crossing into Egypt,2023-11-01_2662.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,1,18,Israeli siege forces Gaza’s only cancer hospital to shut amid fuel shortage,2023-11-01_2665.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,10,14,18,"‘A second Nakba’: Echoes of 1948, as Israel orders Palestinians to leave",2023-10-14_3135.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,14,18,The Gaza medics who won’t give in to Israel’s evacuation demand,2023-10-14_3121.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-10-01
2023,10,14,18,Palestinians fleeing Gaza’s north face air attacks in southern Khan Younis,2023-10-14_3127.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,11,13,18,‘Not just a number’: A protest and a funeral in the West Bank,2023-11-13_2359.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-11-01
2023,11,13,18,UNRWA says fuel shortage will shut down aid work in Gaza within 48 hours,2023-11-13_2357.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,13,18,‘Patients are dying’: What we know about Gaza hospitals under Israeli siege,2023-11-13_2362.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,13,18,"In a flash, Melissa Joudah lost 60 family members and use of her legs",2023-11-13_2363.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,13,18,What is a ‘human shield’ and why is Israel using the term in Gaza?,2023-11-13_2367.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,13,18,"Gaza’s Aqsa hospital warns patients, babies may end up in mass graves soon",2023-11-13_2368.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,13,18,More death and destruction in Gaza as Israeli attacks continue,2023-11-13_2374.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,13,18,Indonesian President Joko Widodo heads to US amid Gaza tensions,2023-11-13_2376.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,13,18,Gaza’s two biggest hospitals cease operations as WHO warns of rising deaths,2023-11-13_2378.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,2,18,Israeli forces kill three Palestinians as West Bank violence soars,2023-11-02_2631.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-11-01
2023,11,2,18,Israel’s army meets fierce resistance ‘at the gates of Gaza City’,2023-11-02_2640.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-11-01
2023,11,2,18,Are Israel’s attacks on Gaza’s hospitals legal?,2023-11-02_2634.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-11-01
2023,11,2,18,Gaza authorities say 15 killed in Israeli strike on Bureij refugee camp,2023-11-02_2635.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-11-01
2023,12,20,18,Hamas head in Cairo as momentum builds towards new Israel-Hamas truce talks,2023-12-20_1675.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-12-01
2023,10,17,18,‘We only wanted to leave’: One Palestinian family’s attempt to flee Gaza,2023-10-17_3051.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,17,18,A man and his donkey ensure Gaza people don’t go thirsty amid Israeli siege,2023-10-17_3073.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,17,18,‘Bodies all around’ as Israeli air raids hit homes in Khan Younis and Rafah,2023-10-17_3063.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,12,12,18,West Bank fighters say Israel war on Gaza inspires more resistance,2023-12-12_1794.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-12-01
2023,12,12,18,"Israeli army raids Jenin, kills several Palestinians",2023-12-12_1798.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-12-01
2023,12,12,18,Israeli forces raid Gaza’s Kamal Adwan Hospital after days of strikes,2023-12-12_1796.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-12-01
2023,12,12,18,What is the situation in Gaza’s Khan Younis as Israel intensifies attacks?,2023-12-12_1793.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-12-01
2023,12,19,18,Israel signals readiness for new temporary truce in Gaza as pressure mounts,2023-12-19_1683.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-12-01
2023,12,19,18,Israeli attack on residential area in south Gaza kills at least 29 people,2023-12-19_1687.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-12-01
2023,12,19,18,"My friend Al-Hassan, a Liverpool fan who dreamed big, killed in Gaza",2023-12-19_1689.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-12-01
2023,12,19,18,‘We have a duty’: US doctor says ceasefire an ‘ethical imperative’ in Gaza,2023-12-19_1684.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-12-01
2023,12,19,18,Photos: Dozens killed in air strikes as Israel intensifies assault on Gaza,2023-12-19_1682.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-12-01
2023,12,18,18,‘Bloodbath’: Israel continues to target Gaza hospitals and civilians,2023-12-18_1699.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-12-01
2023,12,18,18,Israeli attacks continue as calls for a ceasefire in Gaza grow,2023-12-18_1702.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-12-01
2023,12,17,18,Nur Shams refugee camp in West Bank reels from deadly Israeli raids,2023-12-17_1708.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-12-01
2023,12,17,18,Israeli military uses drones to kill Palestinians in West Bank’s Tulkarem,2023-12-17_1710.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-12-01
2023,12,17,18,Will Israel reach a deal on captives with Hamas?,2023-12-17_1706.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-12-01
2023,12,17,18,PA health minister seeks probe into deadly Israeli raid on Gaza hospital,2023-12-17_1713.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-12-01
2023,12,17,18,At least 90 killed in latest Israeli attacks on Gaza’s Jabalia refugee camp,2023-12-17_1705.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-12-01
2023,10,22,18,Israel strikes mosque in occupied West Bank refugee camp,2023-10-22_2936.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-10-01
2023,10,22,18,"Life returns to an Israeli desert city, but fears of Hamas remain",2023-10-22_2934.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,10,22,18,Over 100 incubator babies at risk due to Israel’s fuel cuts to Gaza: UN,2023-10-22_2926.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-10-01
2023,10,22,18,Israeli air attacks kill 30 in Gaza’s Jabalia refugee camp: Civil defence,2023-10-22_2917.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,10,22,18,South of Gaza Strip pounded by air strikes as civilians seek refuge,2023-10-22_2923.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,10,22,18,"Israeli air raids kill at least 55 in Gaza overnight, Hamas says",2023-10-22_2931.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-10-01
2023,12,21,18,UN calls for probe as Israeli army accused of killing unarmed Palestinians,2023-12-21_1663.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-12-01
2023,12,21,18,"No functional hospital left in northern Gaza, WHO says",2023-12-21_1658.txt,3,130,hospital,patients,medical,hospitals,"hospital, patients, medical, hospitals",Short (<300),2023-12-01
2023,12,21,18,Israel continues deadly attacks on Gaza amid hopes for another truce,2023-12-21_1669.txt,5,101,gaza,people,killed,younis,"gaza, people, killed, younis",Short (<300),2023-12-01
2023,10,20,18,‘Silent annexation’: Settlers dispossess West Bank Bedouins amid Israel war,2023-10-20_2981.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-10-01
2023,10,20,18,Hamas releases two American hostages from Gaza after Qatari mediation,2023-10-20_2960.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
2023,10,20,18,‘I struggle to envision life after Israel’s war on Gaza – if we survive’,2023-10-20_2972.txt,2,136,my,her,she,we,"my, her, she, we",Short (<300),2023-10-01
2023,12,16,18,Two young Palestinians shot dead by Israeli forces in West Bank,2023-12-16_1719.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-12-01
2023,12,16,18,Israel’s Netanyahu hints new deal under way to release Gaza hostages,2023-12-16_1715.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-12-01
2023,12,16,18,"Israeli captives mistakenly killed in Gaza held white flag, official says",2023-12-16_1721.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-12-01
2023,10,23,18,‘He’s not dead!’ Palestinian mourns her son slain by Israeli forces,2023-10-23_2898.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-10-01
2023,10,23,18,"Israeli raids in occupied West Bank kill two, hundreds arrested",2023-10-23_2911.txt,0,359,bank,west,israeli,palestinian,"bank, west, israeli, palestinian",Short (<300),2023-10-01
2023,10,23,18,Hamas releases two women held hostage after Egyptian-Qatari diplomacy,2023-10-23_2896.txt,1,148,captives,hamas,release,hostages,"captives, hamas, release, hostages",Short (<300),2023-10-01
